"Location","Year","Readings"
"A",2010,137.834017105538
"A",2010,136.905428244874
"A",2010,139.989053226201
"A",2010,137.269741797221
"A",2010,125.644965802386
"A",2010,134.842477042783
"A",2010,135.655396189049
"A",2010,127.997189185327
"A",2010,133.348811136201
"A",2010,135.636574783624
"A",2010,123.299366502311
"A",2010,134.275676941204
"A",2010,127.024517622288
"A",2010,131.193517725777
"A",2010,125.617959529678
"A",2010,128.328259779546
"A",2010,127.935209054028
"A",2010,126.648978891786
"A",2010,135.335242902651
"A",2010,142.653621863587
"A",2010,131.708229634366
"A",2010,129.780993965485
"A",2010,121.478507988029
"A",2010,122.891708227252
"A",2010,126.396384781724
"A",2010,127.273333628743
"A",2010,131.819086578082
"A",2010,138.081449622817
"A",2010,136.585335760819
"A",2010,128.591574857546
"A",2010,125.90732907078
"A",2010,126.380253110701
"A",2010,134.241329879201
"A",2010,134.713614149834
"A",2010,133.791748096072
"A",2010,130.641678392532
"A",2010,125.250737984466
"A",2010,131.684793444481
"A",2010,126.862715140689
"A",2010,128.063707739582
"A",2011,136.591103004766
"A",2011,130.933414633549
"A",2011,127.956713357547
"A",2011,129.006613921281
"A",2011,143.093595984843
"A",2011,136.156345429596
"A",2011,122.333789702587
"A",2011,124.418203800657
"A",2011,134.768936507855
"A",2011,123.295493571331
"A",2011,133.05441416674
"A",2011,134.837921261026
"A",2011,126.356603126072
"A",2011,141.947346639454
"A",2011,140.70367694665
"A",2011,126.749761347479
"A",2011,129.934673715574
"A",2011,123.492933720911
"A",2011,138.475152266987
"A",2011,132.65202095556
"A",2011,126.014836339517
"A",2011,125.359935784194
"A",2011,116.863554564516
"A",2011,127.691233472265
"A",2011,127.502832960362
"A",2011,121.012262052001
"A",2011,140.59997052974
"A",2011,118.155672726241
"A",2011,140.896570512281
"A",2011,136.229756579378
"A",2011,131.927493360464
"A",2011,117.480332898286
"A",2011,119.869226056227
"A",2011,130.346513197166
"A",2011,135.246433382004
"A",2011,126.119195693741
"A",2011,127.481050226179
"A",2011,139.104638317292
"A",2011,132.146396417774
"A",2011,135.532666074429
"A",2011,137.865683920386
"A",2012,135.174868702648
"A",2012,138.397279331376
"A",2012,119.792065904199
"A",2012,145.837979720036
"A",2012,127.373650302864
"A",2012,126.431908086835
"A",2012,133.426255583479
"A",2012,123.660238350062
"A",2012,127.533859585274
"A",2012,139.486825061467
"A",2012,128.700752423527
"A",2012,134.844994600408
"A",2012,143.07376259234
"A",2012,127.045644824192
"A",2012,128.545894655232
"A",2012,129.795212397757
"A",2012,127.638706361274
"A",2012,133.192688963686
"A",2012,143.120120480671
"A",2012,129.604151086477
"A",2012,118.639323712068
"A",2012,120.390682112636
"A",2012,121.943140174791
